2019-10-20 00:30:30,pm2.5,1.8
2019-10-20 00:30:31,pm10,2.0
2019-10-20 00:31:30,pm2.5,1.6
2019-10-20 00:31:30,pm10,1.7
2019-10-20 00:32:30,pm2.5,1.8
2019-10-20 00:32:30,pm10,2.0
2019-10-20 00:33:30,pm2.5,1.7
2019-10-20 00:33:30,pm10,1.8
2019-10-20 00:34:30,pm2.5,1.7
2019-10-20 00:34:30,pm10,1.8
2019-10-20 00:35:30,pm2.5,1.6
2019-10-20 00:35:30,pm10,1.7
2019-10-20 00:36:30,pm2.5,1.6
2019-10-20 00:36:30,pm10,1.7
2019-10-20 00:37:30,pm2.5,1.6
2019-10-20 00:37:30,pm10,1.7
2019-10-20 00:38:30,pm2.5,1.5
2019-10-20 00:38:30,pm10,1.6
2019-10-20 00:39:30,pm2.5,1.5
2019-10-20 00:39:30,pm10,1.6
2019-10-20 00:40:30,pm2.5,1.4
2019-10-20 00:40:30,pm10,1.5
2019-10-20 00:41:30,pm2.5,1.6
2019-10-20 00:41:30,pm10,1.7
2019-10-20 00:42:30,pm2.5,1.7
2019-10-20 00:42:30,pm10,1.8
2019-10-20 00:43:30,pm2.5,1.5
2019-10-20 00:43:30,pm10,1.6
2019-10-20 00:44:30,pm2.5,1.6
2019-10-20 00:44:30,pm10,1.7
2019-10-20 00:45:30,pm2.5,1.4
2019-10-20 00:45:30,pm10,1.5
2019-10-20 00:46:30,pm2.5,1.5
2019-10-20 00:46:30,pm10,1.6
2019-10-20 00:47:30,pm2.5,1.4
2019-10-20 00:47:31,pm10,1.5
2019-10-20 00:48:30,pm2.5,1.4
2019-10-20 00:48:30,pm10,1.5
2019-10-20 00:49:30,pm2.5,1.5
2019-10-20 00:49:30,pm10,1.6
2019-10-20 00:50:30,pm2.5,1.7
2019-10-20 00:50:30,pm10,1.8
2019-10-20 00:51:30,pm2.5,1.3
2019-10-20 00:51:30,pm10,1.4
2019-10-20 00:52:30,pm2.5,1.7
2019-10-20 00:52:30,pm10,1.8
2019-10-20 00:53:30,pm2.5,1.6
2019-10-20 00:53:30,pm10,1.7
2019-10-20 00:54:30,pm2.5,1.3
2019-10-20 00:54:30,pm10,1.4
2019-10-20 00:55:30,pm2.5,1.5
2019-10-20 00:55:30,pm10,1.6
2019-10-20 00:56:30,pm2.5,1.5
2019-10-20 00:56:30,pm10,1.6
2019-10-20 00:57:30,pm2.5,1.2
2019-10-20 00:57:30,pm10,1.3
2019-10-20 00:58:30,pm2.5,1.3
2019-10-20 00:58:30,pm10,1.4
2019-10-20 00:59:30,pm2.5,1.3
2019-10-20 00:59:30,pm10,1.4
2019-10-20 01:00:30,pm2.5,1.3
2019-10-20 01:00:30,pm10,1.4
2019-10-20 01:01:30,pm2.5,1.2
2019-10-20 01:01:30,pm10,1.3
2019-10-20 01:02:30,pm2.5,1.1
2019-10-20 01:02:30,pm10,1.2
2019-10-20 01:03:30,pm2.5,1.4
2019-10-20 01:03:31,pm10,1.5
2019-10-20 01:04:30,pm2.5,1.1
2019-10-20 01:04:30,pm10,1.2
2019-10-20 01:05:30,pm2.5,1.1
2019-10-20 01:05:30,pm10,1.2
2019-10-20 01:06:30,pm2.5,1.1
2019-10-20 01:06:30,pm10,1.2
2019-10-20 01:07:30,pm2.5,1.2
2019-10-20 01:07:30,pm10,1.3
2019-10-20 01:08:30,pm2.5,1.3
2019-10-20 01:08:30,pm10,1.4
2019-10-20 01:09:30,pm2.5,1.2
2019-10-20 01:09:30,pm10,1.3
2019-10-20 01:10:30,pm2.5,1.2
2019-10-20 01:10:30,pm10,1.3
2019-10-20 01:11:30,pm2.5,1.3
2019-10-20 01:11:30,pm10,1.4
2019-10-20 01:12:30,pm2.5,1.1
2019-10-20 01:12:30,pm10,1.2
2019-10-20 01:13:30,pm2.5,1.2
2019-10-20 01:13:30,pm10,1.3
2019-10-20 01:14:30,pm2.5,1.1
2019-10-20 01:14:30,pm10,1.2
2019-10-20 01:15:30,pm2.5,1.2
2019-10-20 01:15:30,pm10,1.3
2019-10-20 01:16:30,pm2.5,1.1
2019-10-20 01:16:30,pm10,1.2
2019-10-20 01:17:30,pm2.5,1.1
2019-10-20 01:17:30,pm10,1.2
2019-10-20 01:18:30,pm2.5,1.0
2019-10-20 01:18:30,pm10,1.1
2019-10-20 01:19:30,pm2.5,1.0
2019-10-20 01:19:30,pm10,1.1
2019-10-20 01:20:30,pm2.5,1.0
2019-10-20 01:20:30,pm10,1.1
2019-10-20 01:21:30,pm2.5,1.2
2019-10-20 01:21:30,pm10,1.3
2019-10-20 01:22:30,pm2.5,1.1
2019-10-20 01:22:30,pm10,1.2
2019-10-20 01:23:30,pm2.5,1.1
2019-10-20 01:23:30,pm10,1.2
2019-10-20 01:24:30,pm2.5,1.1
2019-10-20 01:24:30,pm10,1.2
2019-10-20 01:25:30,pm2.5,1.1
2019-10-20 01:25:30,pm10,1.2
2019-10-20 01:26:30,pm2.5,0.9
2019-10-20 01:26:30,pm10,1.0
2019-10-20 01:27:30,pm2.5,1.1
2019-10-20 01:27:30,pm10,1.2
2019-10-20 01:28:30,pm2.5,0.9
2019-10-20 01:28:30,pm10,0.9
2019-10-20 01:29:30,pm2.5,1.0
2019-10-20 01:29:30,pm10,1.1
2019-10-20 01:30:30,pm2.5,1.0
2019-10-20 01:30:30,pm10,1.1
2019-10-20 01:31:30,pm2.5,0.9
2019-10-20 01:31:30,pm10,1.0
2019-10-20 01:32:30,pm2.5,0.9
2019-10-20 01:32:30,pm10,1.0
2019-10-20 01:33:30,pm2.5,1.0
2019-10-20 01:33:30,pm10,1.1
2019-10-20 01:34:30,pm2.5,1.0
2019-10-20 01:34:30,pm10,1.1
2019-10-20 01:35:30,pm2.5,1.0
2019-10-20 01:35:30,pm10,1.1
2019-10-20 01:36:30,pm2.5,0.8
2019-10-20 01:36:30,pm10,0.8
2019-10-20 01:37:30,pm2.5,0.8
2019-10-20 01:37:30,pm10,0.8
2019-10-20 01:38:30,pm2.5,0.9
2019-10-20 01:38:30,pm10,1.0
2019-10-20 01:39:30,pm2.5,0.8
2019-10-20 01:39:30,pm10,0.8
2019-10-20 01:40:30,pm2.5,0.8
2019-10-20 01:40:30,pm10,0.8
2019-10-20 01:41:30,pm2.5,0.8
2019-10-20 01:41:30,pm10,0.8
2019-10-20 01:42:30,pm2.5,1.0
2019-10-20 01:42:30,pm10,1.1
2019-10-20 01:43:30,pm2.5,0.8
2019-10-20 01:43:30,pm10,0.8
2019-10-20 01:44:30,pm2.5,0.8
2019-10-20 01:44:31,pm10,0.8
2019-10-20 01:45:30,pm2.5,0.8
2019-10-20 01:45:30,pm10,0.8
2019-10-20 01:46:30,pm2.5,0.9
2019-10-20 01:46:30,pm10,1.0
2019-10-20 01:47:30,pm2.5,0.8
2019-10-20 01:47:30,pm10,0.8
2019-10-20 01:48:30,pm2.5,0.8
2019-10-20 01:48:30,pm10,0.8
2019-10-20 01:49:30,pm2.5,0.8
2019-10-20 01:49:30,pm10,0.8
2019-10-20 01:50:30,pm2.5,0.9
2019-10-20 01:50:30,pm10,1.0
2019-10-20 01:51:30,pm2.5,0.7
2019-10-20 01:51:30,pm10,0.7
2019-10-20 01:52:30,pm2.5,0.8
2019-10-20 01:52:30,pm10,0.8
2019-10-20 01:53:30,pm2.5,0.8
2019-10-20 01:53:30,pm10,0.8
2019-10-20 01:54:30,pm2.5,0.6
2019-10-20 01:54:30,pm10,0.6
2019-10-20 01:55:30,pm2.5,0.8
2019-10-20 01:55:30,pm10,0.8
2019-10-20 01:56:30,pm2.5,0.7
2019-10-20 01:56:30,pm10,0.7
2019-10-20 01:57:30,pm2.5,0.7
2019-10-20 01:57:30,pm10,0.7
2019-10-20 01:58:30,pm2.5,0.7
2019-10-20 01:58:30,pm10,0.7
2019-10-20 01:59:30,pm2.5,0.6
2019-10-20 01:59:30,pm10,0.6
2019-10-20 02:00:30,pm2.5,0.7
2019-10-20 02:00:30,pm10,0.7
2019-10-20 02:01:30,pm2.5,0.7
2019-10-20 02:01:30,pm10,0.7
2019-10-20 02:02:30,pm2.5,0.6
2019-10-20 02:02:30,pm10,0.6
2019-10-20 02:03:30,pm2.5,0.6
2019-10-20 02:03:30,pm10,0.6
2019-10-20 02:04:30,pm2.5,0.8
2019-10-20 02:04:30,pm10,0.8
2019-10-20 02:05:30,pm2.5,0.7
2019-10-20 02:05:31,pm10,0.7
2019-10-20 02:06:30,pm2.5,0.6
2019-10-20 02:06:30,pm10,0.6
2019-10-20 02:07:30,pm2.5,0.6
2019-10-20 02:07:30,pm10,0.6
2019-10-20 02:08:30,pm2.5,0.6
2019-10-20 02:08:30,pm10,0.6
2019-10-20 02:09:30,pm2.5,0.6
2019-10-20 02:09:30,pm10,0.6
2019-10-20 02:10:30,pm2.5,0.7
2019-10-20 02:10:30,pm10,0.7
2019-10-20 02:11:30,pm2.5,0.6
2019-10-20 02:11:30,pm10,0.6
2019-10-20 02:12:30,pm2.5,0.6
2019-10-20 02:12:30,pm10,0.6
2019-10-20 02:13:30,pm2.5,0.6
2019-10-20 02:13:30,pm10,0.6
2019-10-20 02:14:30,pm2.5,0.5
2019-10-20 02:14:30,pm10,0.5
2019-10-20 02:15:30,pm2.5,0.6
2019-10-20 02:15:30,pm10,0.6
2019-10-20 02:16:30,pm2.5,0.6
2019-10-20 02:16:30,pm10,0.6
2019-10-20 02:17:30,pm2.5,0.7
2019-10-20 02:17:30,pm10,0.7
2019-10-20 02:18:30,pm2.5,0.5
2019-10-20 02:18:30,pm10,0.5
2019-10-20 02:19:30,pm2.5,0.7
2019-10-20 02:19:30,pm10,0.7
2019-10-20 02:20:30,pm2.5,0.6
2019-10-20 02:20:30,pm10,0.6
2019-10-20 02:21:30,pm2.5,0.5
2019-10-20 02:21:30,pm10,0.5
2019-10-20 02:22:30,pm2.5,0.6
2019-10-20 02:22:30,pm10,0.6
2019-10-20 02:23:30,pm2.5,0.5
2019-10-20 02:23:30,pm10,0.5
2019-10-20 02:24:30,pm2.5,0.6
2019-10-20 02:24:30,pm10,0.6
2019-10-20 02:25:30,pm2.5,0.6
2019-10-20 02:25:30,pm10,0.6
2019-10-20 02:26:30,pm2.5,0.5
2019-10-20 02:26:30,pm10,0.5
2019-10-20 02:27:30,pm2.5,0.5
2019-10-20 02:27:30,pm10,0.5
2019-10-20 02:28:30,pm2.5,0.5
2019-10-20 02:28:30,pm10,0.5
2019-10-20 02:29:30,pm2.5,0.5
2019-10-20 02:29:30,pm10,0.5
2019-10-20 02:30:30,pm2.5,0.4
2019-10-20 02:30:30,pm10,0.4
2019-10-20 02:31:30,pm2.5,0.5
2019-10-20 02:31:30,pm10,0.5
2019-10-20 02:32:30,pm2.5,0.5
2019-10-20 02:32:30,pm10,0.5
2019-10-20 02:33:30,pm2.5,0.5
2019-10-20 02:33:30,pm10,0.5
2019-10-20 02:34:30,pm2.5,0.5
2019-10-20 02:34:30,pm10,0.5
2019-10-20 02:35:30,pm2.5,0.5
2019-10-20 02:35:30,pm10,0.5
2019-10-20 02:36:30,pm2.5,0.4
2019-10-20 02:36:30,pm10,0.4
2019-10-20 02:37:30,pm2.5,0.5
2019-10-20 02:37:30,pm10,0.5
2019-10-20 02:38:30,pm2.5,0.4
2019-10-20 02:38:30,pm10,0.4
2019-10-20 02:39:30,pm2.5,0.5
2019-10-20 02:39:30,pm10,0.5
2019-10-20 02:40:30,pm2.5,0.4
2019-10-20 02:40:30,pm10,0.4
2019-10-20 02:41:30,pm2.5,0.5
2019-10-20 02:41:30,pm10,0.5
2019-10-20 02:42:30,pm2.5,0.5
2019-10-20 02:42:30,pm10,0.5
2019-10-20 02:43:30,pm2.5,0.4
2019-10-20 02:43:30,pm10,0.4
2019-10-20 02:44:30,pm2.5,0.3
2019-10-20 02:44:30,pm10,0.3
2019-10-20 02:45:30,pm2.5,0.4
2019-10-20 02:45:30,pm10,0.4
2019-10-20 02:46:30,pm2.5,0.4
2019-10-20 02:46:30,pm10,0.4
2019-10-20 02:47:30,pm2.5,0.4
2019-10-20 02:47:30,pm10,0.4
2019-10-20 02:48:30,pm2.5,0.4
2019-10-20 02:48:30,pm10,0.4
2019-10-20 02:49:30,pm2.5,0.4
2019-10-20 02:49:30,pm10,0.4
2019-10-20 02:50:30,pm2.5,0.3
2019-10-20 02:50:30,pm10,0.3
2019-10-20 02:51:30,pm2.5,0.4
2019-10-20 02:51:30,pm10,0.4
2019-10-20 02:52:30,pm2.5,0.4
2019-10-20 02:52:30,pm10,0.4
2019-10-20 02:53:30,pm2.5,0.4
2019-10-20 02:53:30,pm10,0.4
2019-10-20 02:54:30,pm2.5,0.3
2019-10-20 02:54:30,pm10,0.3
2019-10-20 02:55:30,pm2.5,0.4
2019-10-20 02:55:30,pm10,0.4
2019-10-20 02:56:30,pm2.5,0.4
2019-10-20 02:56:30,pm10,0.4
2019-10-20 02:57:30,pm2.5,0.4
2019-10-20 02:57:30,pm10,0.4
2019-10-20 02:58:30,pm2.5,0.3
2019-10-20 02:58:30,pm10,0.3
2019-10-20 02:59:30,pm2.5,0.4
2019-10-20 02:59:30,pm10,0.4
2019-10-20 03:00:30,pm2.5,0.4
2019-10-20 03:00:30,pm10,0.4
2019-10-20 03:01:30,pm2.5,0.4
2019-10-20 03:01:30,pm10,0.4
2019-10-20 03:02:30,pm2.5,0.3
2019-10-20 03:02:31,pm10,0.3
2019-10-20 03:03:30,pm2.5,0.3
2019-10-20 03:03:31,pm10,0.3
2019-10-20 03:04:30,pm2.5,0.3
2019-10-20 03:04:30,pm10,0.3
2019-10-20 03:05:30,pm2.5,0.3
2019-10-20 03:05:31,pm10,0.3
2019-10-20 03:06:30,pm2.5,0.3
2019-10-20 03:06:31,pm10,0.3
2019-10-20 03:07:30,pm2.5,0.3
2019-10-20 03:07:30,pm10,0.3
2019-10-20 03:08:30,pm2.5,0.3
2019-10-20 03:08:30,pm10,0.3
2019-10-20 03:09:30,pm2.5,0.3
2019-10-20 03:09:30,pm10,0.3
2019-10-20 03:10:30,pm2.5,0.3
2019-10-20 03:10:31,pm10,0.3
2019-10-20 03:11:30,pm2.5,0.3
2019-10-20 03:11:30,pm10,0.3
2019-10-20 03:12:30,pm2.5,0.3
2019-10-20 03:12:31,pm10,0.3
2019-10-20 03:13:30,pm2.5,0.3
2019-10-20 03:13:31,pm10,0.3
2019-10-20 03:14:30,pm2.5,0.4
2019-10-20 03:14:31,pm10,0.4
2019-10-20 03:15:30,pm2.5,0.3
2019-10-20 03:15:31,pm10,0.3
2019-10-20 03:16:30,pm2.5,0.2
2019-10-20 03:16:31,pm10,0.2
2019-10-20 03:17:30,pm2.5,0.3
2019-10-20 03:17:31,pm10,0.3
2019-10-20 03:18:30,pm2.5,0.3
2019-10-20 03:18:31,pm10,0.3
2019-10-20 03:19:30,pm2.5,0.3
2019-10-20 03:19:31,pm10,0.3
2019-10-20 03:20:30,pm2.5,0.3
2019-10-20 03:20:31,pm10,0.3
2019-10-20 03:21:30,pm2.5,0.3
2019-10-20 03:21:31,pm10,0.3
2019-10-20 03:22:31,pm2.5,0.3
2019-10-20 03:22:31,pm10,0.3
2019-10-20 03:23:31,pm2.5,0.3
2019-10-20 03:23:31,pm10,0.3
2019-10-20 03:24:31,pm2.5,0.3
2019-10-20 03:24:31,pm10,0.3
2019-10-20 03:25:31,pm2.5,0.3
2019-10-20 03:25:31,pm10,0.3
2019-10-20 03:27:30,pm2.5,0.3
2019-10-20 03:27:30,pm10,0.3
2019-10-20 03:28:30,pm2.5,0.2
2019-10-20 03:28:30,pm10,0.2
2019-10-20 03:29:30,pm2.5,0.2
2019-10-20 03:29:30,pm10,0.2
2019-10-20 03:30:30,pm2.5,0.3
2019-10-20 03:30:30,pm10,0.3
2019-10-20 03:31:30,pm2.5,0.3
2019-10-20 03:31:30,pm10,0.3
2019-10-20 03:32:30,pm2.5,0.3
2019-10-20 03:32:30,pm10,0.3
2019-10-20 03:33:30,pm2.5,0.3
2019-10-20 03:33:30,pm10,0.3
2019-10-20 03:34:30,pm2.5,0.3
2019-10-20 03:34:30,pm10,0.3
2019-10-20 03:35:30,pm2.5,0.2
2019-10-20 03:35:30,pm10,0.2
2019-10-20 03:36:30,pm2.5,0.2
2019-10-20 03:36:30,pm10,0.2
2019-10-20 03:37:30,pm2.5,0.3
2019-10-20 03:37:30,pm10,0.3
2019-10-20 03:38:30,pm2.5,0.2
2019-10-20 03:38:30,pm10,0.2
2019-10-20 03:39:30,pm2.5,0.2
2019-10-20 03:39:30,pm10,0.2
2019-10-20 03:40:30,pm2.5,0.2
2019-10-20 03:40:30,pm10,0.2
2019-10-20 03:41:30,pm2.5,0.2
2019-10-20 03:41:30,pm10,0.2
2019-10-20 03:42:30,pm2.5,0.2
2019-10-20 03:42:30,pm10,0.2
2019-10-20 03:43:30,pm2.5,0.2
2019-10-20 03:43:30,pm10,0.2
2019-10-20 03:44:30,pm2.5,0.2
2019-10-20 03:44:30,pm10,0.2
2019-10-20 03:45:30,pm2.5,0.2
2019-10-20 03:45:30,pm10,0.2
2019-10-20 03:46:30,pm2.5,0.2
2019-10-20 03:46:30,pm10,0.2
2019-10-20 03:47:30,pm2.5,0.2
2019-10-20 03:47:30,pm10,0.2
2019-10-20 03:48:30,pm2.5,0.2
2019-10-20 03:48:30,pm10,0.2
2019-10-20 03:49:30,pm2.5,0.2
2019-10-20 03:49:30,pm10,0.2
2019-10-20 03:50:30,pm2.5,0.2
2019-10-20 03:50:30,pm10,0.2
2019-10-20 03:51:30,pm2.5,0.2
2019-10-20 03:51:30,pm10,0.2
2019-10-20 03:52:30,pm2.5,0.2
2019-10-20 03:52:30,pm10,0.2
2019-10-20 03:53:30,pm2.5,0.2
2019-10-20 03:53:30,pm10,0.2
2019-10-20 03:54:30,pm2.5,0.2
2019-10-20 03:54:30,pm10,0.2
2019-10-20 03:55:30,pm2.5,0.2
2019-10-20 03:55:30,pm10,0.2
2019-10-20 03:56:30,pm2.5,0.2
2019-10-20 03:56:30,pm10,0.2
2019-10-20 03:57:30,pm2.5,0.2
2019-10-20 03:57:30,pm10,0.2
2019-10-20 03:58:30,pm2.5,0.2
2019-10-20 03:58:30,pm10,0.2
2019-10-20 03:59:30,pm2.5,0.1
2019-10-20 03:59:30,pm10,0.1
2019-10-20 04:00:30,pm2.5,0.2
2019-10-20 04:00:30,pm10,0.2
2019-10-20 04:01:30,pm2.5,0.2
2019-10-20 04:01:30,pm10,0.2
2019-10-20 04:02:30,pm2.5,0.2
2019-10-20 04:02:30,pm10,0.2
2019-10-20 04:03:30,pm2.5,0.2
2019-10-20 04:03:30,pm10,0.2
2019-10-20 04:04:30,pm2.5,0.2
2019-10-20 04:04:30,pm10,0.2
2019-10-20 04:05:30,pm2.5,0.1
2019-10-20 04:05:30,pm10,0.1
2019-10-20 04:06:30,pm2.5,0.1
2019-10-20 04:06:30,pm10,0.1
2019-10-20 04:07:30,pm2.5,0.2
2019-10-20 04:07:30,pm10,0.2
2019-10-20 04:08:30,pm2.5,0.2
2019-10-20 04:08:30,pm10,0.2
2019-10-20 04:09:30,pm2.5,0.2
2019-10-20 04:09:30,pm10,0.2
2019-10-20 04:10:30,pm2.5,0.1
2019-10-20 04:10:30,pm10,0.1
2019-10-20 04:11:30,pm2.5,0.2
2019-10-20 04:11:30,pm10,0.2
2019-10-20 04:12:30,pm2.5,0.2
2019-10-20 04:12:30,pm10,0.2
2019-10-20 04:13:30,pm2.5,0.2
2019-10-20 04:13:30,pm10,0.2
2019-10-20 04:14:30,pm2.5,0.2
2019-10-20 04:14:30,pm10,0.2
2019-10-20 04:15:30,pm2.5,0.1
2019-10-20 04:15:30,pm10,0.1
2019-10-20 04:16:30,pm2.5,0.2
2019-10-20 04:16:30,pm10,0.2
2019-10-20 04:17:30,pm2.5,0.2
2019-10-20 04:17:30,pm10,0.2
2019-10-20 04:18:30,pm2.5,0.2
2019-10-20 04:18:30,pm10,0.2
2019-10-20 04:19:30,pm2.5,0.1
2019-10-20 04:19:30,pm10,0.1
2019-10-20 04:20:30,pm2.5,0.2
2019-10-20 04:20:30,pm10,0.2
2019-10-20 04:21:30,pm2.5,0.2
2019-10-20 04:21:30,pm10,0.2
2019-10-20 04:22:30,pm2.5,0.2
2019-10-20 04:22:30,pm10,0.2
2019-10-20 04:23:30,pm2.5,0.1
2019-10-20 04:23:30,pm10,0.1
2019-10-20 04:24:30,pm2.5,0.2
2019-10-20 04:24:30,pm10,0.2
2019-10-20 04:25:30,pm2.5,0.1
2019-10-20 04:25:30,pm10,0.1
2019-10-20 04:26:30,pm2.5,0.2
2019-10-20 04:26:30,pm10,0.2
2019-10-20 04:27:30,pm2.5,0.2
2019-10-20 04:27:30,pm10,0.5
2019-10-20 04:28:30,pm2.5,0.1
2019-10-20 04:28:30,pm10,0.1
2019-10-20 04:29:30,pm2.5,0.1
2019-10-20 04:29:30,pm10,0.1
2019-10-20 04:30:30,pm2.5,0.1
2019-10-20 04:30:30,pm10,0.1
2019-10-20 04:31:30,pm2.5,0.1
2019-10-20 04:31:30,pm10,0.1
2019-10-20 04:32:30,pm2.5,0.2
2019-10-20 04:32:30,pm10,0.2
2019-10-20 04:33:30,pm2.5,0.1
2019-10-20 04:33:30,pm10,0.1
2019-10-20 04:34:30,pm2.5,0.2
2019-10-20 04:34:30,pm10,0.2
2019-10-20 04:35:30,pm2.5,0.2
2019-10-20 04:35:30,pm10,0.2
2019-10-20 04:36:30,pm2.5,0.2
2019-10-20 04:36:30,pm10,0.2
2019-10-20 04:37:30,pm2.5,0.2
2019-10-20 04:37:30,pm10,0.2
2019-10-20 04:38:30,pm2.5,0.2
2019-10-20 04:38:30,pm10,0.2
2019-10-20 04:39:30,pm2.5,0.1
2019-10-20 04:39:30,pm10,0.1
2019-10-20 04:40:30,pm2.5,0.1
2019-10-20 04:40:30,pm10,0.1
2019-10-20 04:41:30,pm2.5,0.1
2019-10-20 04:41:30,pm10,0.1
2019-10-20 04:42:30,pm2.5,0.1
2019-10-20 04:42:30,pm10,0.1
2019-10-20 04:43:30,pm2.5,0.1
2019-10-20 04:43:30,pm10,0.1
2019-10-20 04:44:30,pm2.5,0.1
2019-10-20 04:44:30,pm10,0.1
2019-10-20 04:45:30,pm2.5,0.2
2019-10-20 04:45:30,pm10,0.2
2019-10-20 04:46:30,pm2.5,0.1
2019-10-20 04:46:30,pm10,0.1
2019-10-20 04:47:30,pm2.5,0.1
2019-10-20 04:47:30,pm10,0.1
2019-10-20 04:48:30,pm2.5,0.1
2019-10-20 04:48:30,pm10,0.1
2019-10-20 04:49:30,pm2.5,0.1
2019-10-20 04:49:30,pm10,0.1
2019-10-20 04:50:30,pm2.5,0.2
2019-10-20 04:50:30,pm10,0.2
2019-10-20 04:51:30,pm2.5,0.1
2019-10-20 04:51:30,pm10,0.1
2019-10-20 04:52:30,pm2.5,0.1
2019-10-20 04:52:30,pm10,0.1
2019-10-20 04:53:30,pm2.5,0.1
2019-10-20 04:53:30,pm10,0.1
2019-10-20 04:54:30,pm2.5,0.2
2019-10-20 04:54:30,pm10,0.2
2019-10-20 04:55:30,pm2.5,0.1
2019-10-20 04:55:30,pm10,0.1
2019-10-20 04:56:30,pm2.5,0.1
2019-10-20 04:56:30,pm10,0.1
2019-10-20 04:57:30,pm2.5,0.1
2019-10-20 04:57:30,pm10,0.1
2019-10-20 04:58:30,pm2.5,0.1
2019-10-20 04:58:30,pm10,0.1
2019-10-20 04:59:30,pm2.5,0.1
2019-10-20 04:59:30,pm10,0.1
2019-10-20 05:00:30,pm2.5,0.1
2019-10-20 05:00:30,pm10,0.1
2019-10-20 05:01:30,pm2.5,0.1
2019-10-20 05:01:30,pm10,0.1
2019-10-20 05:02:30,pm2.5,0.1
2019-10-20 05:02:30,pm10,0.1
2019-10-20 05:03:30,pm2.5,0.1
2019-10-20 05:03:30,pm10,0.1
2019-10-20 05:04:30,pm2.5,0.1
2019-10-20 05:04:30,pm10,0.1
2019-10-20 05:05:30,pm2.5,0.1
2019-10-20 05:05:30,pm10,0.1
2019-10-20 05:06:30,pm2.5,0.1
2019-10-20 05:06:30,pm10,0.1
2019-10-20 05:07:30,pm2.5,0.1
2019-10-20 05:07:30,pm10,0.1
2019-10-20 05:08:30,pm2.5,0.1
2019-10-20 05:08:30,pm10,0.1
2019-10-20 05:09:30,pm2.5,0.1
2019-10-20 05:09:30,pm10,0.1
2019-10-20 05:10:30,pm2.5,0.1
2019-10-20 05:10:30,pm10,0.1
2019-10-20 05:11:30,pm2.5,0.1
2019-10-20 05:11:30,pm10,0.1
2019-10-20 05:12:30,pm2.5,0.2
2019-10-20 05:12:30,pm10,0.2
2019-10-20 05:13:30,pm2.5,0.1
2019-10-20 05:13:30,pm10,0.1
2019-10-20 05:14:30,pm2.5,0.1
2019-10-20 05:14:30,pm10,0.1
2019-10-20 05:15:30,pm2.5,0.1
2019-10-20 05:15:30,pm10,0.1
2019-10-20 05:16:30,pm2.5,0.1
2019-10-20 05:16:30,pm10,0.1
2019-10-20 05:17:30,pm2.5,0.1
2019-10-20 05:17:30,pm10,0.1
2019-10-20 05:18:30,pm2.5,0.1
2019-10-20 05:18:30,pm10,0.1
2019-10-20 05:19:30,pm2.5,0.1
2019-10-20 05:19:30,pm10,0.1
2019-10-20 05:20:30,pm2.5,0.1
2019-10-20 05:20:30,pm10,0.1
2019-10-20 05:21:30,pm2.5,0.1
2019-10-20 05:21:30,pm10,0.1
2019-10-20 05:22:30,pm2.5,0.1
2019-10-20 05:22:30,pm10,0.1
2019-10-20 05:23:30,pm2.5,0.1
2019-10-20 05:23:30,pm10,0.1
2019-10-20 05:24:30,pm2.5,0.1
2019-10-20 05:24:30,pm10,0.1
2019-10-20 05:25:30,pm2.5,0.1
2019-10-20 05:25:30,pm10,0.1
2019-10-20 05:26:30,pm2.5,0.1
2019-10-20 05:26:30,pm10,0.1
2019-10-20 05:27:30,pm2.5,0.1
2019-10-20 05:27:30,pm10,0.1
2019-10-20 05:28:30,pm2.5,0.1
2019-10-20 05:28:30,pm10,0.1
2019-10-20 05:29:30,pm2.5,0.1
2019-10-20 05:29:30,pm10,0.1
2019-10-20 05:30:30,pm2.5,0.1
2019-10-20 05:30:30,pm10,0.1
2019-10-20 05:31:30,pm2.5,0.1
2019-10-20 05:31:30,pm10,0.1
2019-10-20 05:32:30,pm2.5,0.1
2019-10-20 05:32:30,pm10,0.1
2019-10-20 05:33:30,pm2.5,0.1
2019-10-20 05:33:30,pm10,0.1
2019-10-20 05:34:30,pm2.5,0.1
2019-10-20 05:34:30,pm10,0.1
2019-10-20 05:35:30,pm2.5,0.1
2019-10-20 05:35:31,pm10,0.1
2019-10-20 05:36:30,pm2.5,0.1
2019-10-20 05:36:30,pm10,0.1
2019-10-20 05:37:30,pm2.5,0.1
2019-10-20 05:37:30,pm10,0.1
2019-10-20 05:38:30,pm2.5,0.1
2019-10-20 05:38:30,pm10,0.1
2019-10-20 05:39:30,pm2.5,0.1
2019-10-20 05:39:30,pm10,0.1
2019-10-20 05:40:30,pm2.5,0.1
2019-10-20 05:40:30,pm10,0.1
2019-10-20 05:41:30,pm2.5,0.1
2019-10-20 05:41:30,pm10,0.1
2019-10-20 05:42:30,pm2.5,0.0
2019-10-20 05:42:30,pm10,0.0
2019-10-20 05:43:30,pm2.5,0.1
2019-10-20 05:43:31,pm10,0.1
2019-10-20 05:44:30,pm2.5,0.1
2019-10-20 05:44:30,pm10,0.1
2019-10-20 05:45:30,pm2.5,0.1
2019-10-20 05:45:30,pm10,0.1
2019-10-20 05:46:30,pm2.5,0.1
2019-10-20 05:46:30,pm10,0.1
2019-10-20 05:47:30,pm2.5,0.1
2019-10-20 05:47:30,pm10,0.3
2019-10-20 05:48:30,pm2.5,0.1
2019-10-20 05:48:30,pm10,0.1
